MANDATE,ATTACKERS,INEQUALITY,PREMIUM,EFFICIENCY,EFFORT,PAYOFF,CAUGHT,CLAIMS,TAX,d_init,d_end,a_init,a_end,i_init,i_end,g_init,g_end,attacks_attempted,attacks_succeeded,amount_stolen,attacker_expenditures,government_expenditures,crossovers,insurer_tod,paid_claims,final_iter,outcome
0.5,0.8,0.5,0.0,0.3,0.1,0.1,0.0,1.0,0.0,41246073,41245876,33249010,33249111,0,0,0,0,6,3,197,96,0,[],[],0,54,E
0.5,0.8,0.5,0.0,0.3,0.2,0.1,0.0,1.0,0.0,47797210,47796993,33172045,33172092,0,0,0,0,4,3,218,170,0,[],[],0,52,E
0.5,0.8,0.5,0.0,0.3,0.3,0.1,0.0,1.0,0.0,42431738,42431738,26711338,26711338,0,0,0,0,0,0,0,0,0,[],[],0,50,E
0.5,0.8,0.5,0.0,0.3,0.4,0.1,0.0,1.0,0.0,35056231,35056231,33948021,33948021,0,0,0,0,0,0,0,0,0,[],[],0,50,E
0.5,0.8,0.5,0.0,0.3,0.5,0.1,0.0,1.0,0.0,35393422,35393422,36987654,36987654,0,0,0,0,0,0,0,0,0,"[1,]",[],0,50,E
0.5,0.8,0.5,0.0,0.3,0.6,0.1,0.0,1.0,0.0,37838727,37838727,32149543,32149543,0,0,0,0,0,0,0,0,0,[],[],0,50,E
0.5,0.8,0.5,0.0,0.3,0.7,0.1,0.0,1.0,0.0,39032636,39032636,39515185,39515185,0,0,0,0,0,0,0,0,0,"[1,]",[],0,50,E
0.5,0.8,0.5,0.0,0.3,0.8,0.1,0.0,1.0,0.0,45181755,45181755,29528361,29528361,0,0,0,0,0,0,0,0,0,[],[],0,50,E
0.5,0.8,0.5,0.0,0.3,0.9,0.1,0.0,1.0,0.0,34329674,34329674,30681008,30681008,0,0,0,0,0,0,0,0,0,[],[],0,50,E
0.5,0.8,0.5,0.0,0.3,1.0,0.1,0.0,1.0,0.0,38380821,38380821,30652653,30652653,0,0,0,0,0,0,0,0,0,[],[],0,50,E
