MANDATE,ATTACKERS,INEQUALITY,PREMIUM,EFFICIENCY,EFFORT,PAYOFF,CAUGHT,CLAIMS,TAX,d_init,d_end,a_init,a_end,i_init,i_end,g_init,g_end,attacks_attempted,attacks_succeeded,amount_stolen,attacker_expenditures,government_expenditures,crossovers,insurer_tod,paid_claims,final_iter,outcome
0.20,0.00,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,67970208,67970208,0,0,4248138,4248138,8496276,8496276,0,0,0,0,0,"[]","[]",0,1,A
0.20,0.01,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,58094378,58092096,199016,0,3630899,3627558,7261797,7257367,25,8,22312,94027,115041,"[]","[]",3341,22,A
0.20,0.25,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,64190506,64029174,10901945,597,4011907,3907290,8023813,10001447,506,162,1910393,2703049,6486613,"[]","[]",104616,144,E
0.20,0.50,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,65975401,65792657,20073991,543,4123463,3977104,8246925,12543345,967,308,2925848,4377890,11728240,"[]","[]",146358,355,E
0.20,0.37,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,70158918,69970022,14352864,119,4384932,4260521,8769865,11518750,755,245,2189600,3506068,8411098,"[]","[]",124411,350,E
0.20,0.26,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,66823165,66667296,12607727,271,4176448,4076208,8352896,12358320,485,157,1691700,2346524,6511616,"[]","[]",100240,183,E
0.20,0.75,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,58508919,58189616,36509935,1489,3656807,3433149,7313615,15197923,1430,430,4539524,7539022,21628077,"[]","[]",223658,238,E
0.20,0.81,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,62041336,61647372,38083791,1627,3877583,3529216,7755167,18622135,1571,504,4250362,8325825,19631702,"[]","[]",348367,339,E
0.20,0.78,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,59456627,59036475,41703871,2678,3716039,3370361,7432078,15622088,1559,510,4643410,8749640,25527374,"[]","[]",345678,343,E
0.20,0.38,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,69425020,69238561,17752656,101,4339064,4196112,8678127,13725952,757,231,2167439,3703636,9330504,"[]","[]",142952,185,E
