MANDATE,ATTACKERS,INEQUALITY,PREMIUM,EFFICIENCY,EFFORT,PAYOFF,CAUGHT,CLAIMS,TAX,d_init,d_end,a_init,a_end,i_init,i_end,g_init,g_end,attacks_attempted,attacks_succeeded,amount_stolen,attacker_expenditures,government_expenditures,crossovers,insurer_tod,paid_claims,final_iter,outcome
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.75,0.60,0.50,70833484,70672594,26370898,47,4427093,4356550,8854186,20879462,821,145,1588931,4266075,10310933,"[]","[]",70543,166,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,59965892,59686665,22550072,1197,3747868,3514770,7495736,13801507,1172,374,2720009,5538483,11216946,"[]","[]",233098,219,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.51,0.60,0.50,65442142,65120506,25425785,151,4090134,3857576,8180268,13936195,1114,321,3273161,6227898,13996002,"[]","[]",232558,408,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.37,0.60,0.50,58690609,57871270,23620024,3087,3668163,2886718,7336326,4750876,1519,605,7161103,9440119,18363052,"[]","[]",781445,499,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.52,0.60,0.50,64269186,63917566,22726089,985,4016824,3712328,8033648,12167278,1182,381,3093963,5673397,13574194,"[]","[]",304496,194,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.38,0.60,0.50,52612855,51865280,36812937,4131,3288303,2615387,6576607,3158282,1557,624,6130025,9376344,32271278,"[]","[]",672917,317,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.53,0.60,0.50,60491903,60153459,30451051,980,3780744,3571006,7561488,18615592,1125,328,2997746,5631265,14312883,"[]","[]",209738,204,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.54,0.60,0.50,57775934,57326365,32444103,398,3610996,3294741,7221992,19129581,1119,338,3074155,5968926,15333014,"[]","[]",316255,310,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.00,0.60,0.50,55416789,33560898,30418414,33009723,3463549,0,6927099,0,1295,789,25319440,22728131,6927099,"[]","[4,]",3463549,216,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.18,0.60,0.50,58279832,36220477,35433575,35281093,3642489,0,7284979,0,1299,797,25811846,21778739,11360565,"[]","[4,]",3642489,249,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.25,0.60,0.50,73593167,54597771,26614597,4719729,4599573,0,9199146,0,1987,1025,28438086,30043620,24645362,"[]","[36,]",4599573,468,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.39,0.60,0.50,64055277,63167630,29439128,2685,4003455,3361340,8006910,9002433,1503,571,6277527,9033881,20936799,"[]","[]",642115,390,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.55,0.60,0.50,67865209,67632044,34626186,338,4241576,4085288,8483151,10904996,1092,317,3821347,5686778,26906677,"[]","[]",156287,332,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.12,0.60,0.50,59989136,37704116,34902489,28947079,3749321,0,7498642,0,1350,792,26126534,24838119,14650275,"[]","[5,]",3749321,256,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.03,0.60,0.50,58066897,37717842,31570559,33081737,3629181,0,7258362,0,1281,794,23985256,21823765,7901654,"[]","[4,]",3629181,255,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.43,0.60,0.50,64964382,64482620,31303353,2620,4060274,3653230,8120548,11958668,1325,486,4882102,7212371,21139047,"[]","[]",407044,362,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.56,0.60,0.50,61991872,61791982,23025823,544,3874492,3739864,7748984,14972969,1068,294,2322413,5301470,10834341,"[]","[]",134628,297,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.76,0.60,0.50,58690636,39819631,54196576,37500871,3668165,0,7336329,0,1608,803,22710772,23761222,22809983,"[]","[14,]",3668165,392,E
