MANDATE,ATTACKERS,INEQUALITY,PREMIUM,EFFICIENCY,EFFORT,PAYOFF,CAUGHT,CLAIMS,TAX,d_init,d_end,a_init,a_end,i_init,i_end,g_init,g_end,attacks_attempted,attacks_succeeded,amount_stolen,attacker_expenditures,government_expenditures,crossovers,insurer_tod,paid_claims,final_iter,outcome
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.50,0.00,0.50,66301551,65691958,28810556,1116,4143847,4143847,8287694,17027864,1155,332,2675826,5871254,14807609,"[]","[]",0,219,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.50,0.01,0.50,52351074,51710004,34422620,523,3271942,3269498,6543884,17139264,1157,364,3217926,6408597,18061635,"[]","[]",2444,219,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.50,0.02,0.50,76541135,75838715,33143796,1075,4783821,4777734,9567642,13365989,1152,370,3575987,6677513,23375367,"[]","[]",6086,121,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.50,0.03,0.50,64788370,63949828,28054574,441,4049273,4038498,8098546,17193763,1209,396,3314626,7131811,12676423,"[]","[]",10776,243,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.50,0.04,0.50,73957785,73487698,23450913,657,4622362,4616819,9244723,16485524,1062,300,2677452,5591422,11093663,"[]","[]",5542,293,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.50,0.05,0.50,64837314,64101168,32066021,1311,4052332,4035869,8104664,11268111,1237,415,5747225,8182549,21471322,"[]","[]",16463,374,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.50,0.06,0.50,66620630,65713426,28370852,1023,4163789,4138068,8327579,13163892,1229,410,4559631,7462498,17003943,"[]","[]",25721,293,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.50,0.07,0.50,66927487,66399220,25924538,1118,4182968,4166289,8365936,15999332,1202,383,3423281,5947664,12887305,"[]","[]",16679,350,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.50,0.08,0.50,56599076,55874518,32217787,2341,3537442,3511303,7074884,10881029,1153,358,3304496,6439614,22720385,"[]","[]",26140,446,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.50,0.09,0.50,73504018,72839938,29860504,1309,4594001,4569019,9188002,17746668,1175,362,2879772,5683446,16306147,"[]","[]",24982,230,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.50,0.10,0.50,62652189,62164643,26179545,1449,3915762,3896786,7831524,14399249,1173,385,3398302,5943887,14173004,"[]","[]",18975,274,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.50,0.11,0.50,77746110,76882072,32707592,211,4859132,4824750,9718264,18817485,1181,374,4226134,7354352,17152227,"[]","[]",34382,276,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.50,0.12,0.50,62822561,62394620,32238434,833,3926410,3901113,7852820,14950789,1219,389,3666455,6345525,19247344,"[]","[]",25297,394,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.50,0.13,0.50,66056175,65369186,20894584,867,4128511,4082082,8257022,14248037,1172,360,3737453,5598275,10037845,"[]","[]",46428,291,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.50,0.14,0.50,66880668,66196426,21243931,1330,4180042,4125151,8360084,14117261,1159,359,2772850,5614032,10610525,"[]","[]",54890,210,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.50,0.15,0.50,59385420,58870130,25102120,437,3711589,3666255,7423178,15945824,1138,343,2594250,5964000,11175660,"[]","[]",45334,228,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.50,0.16,0.50,67130776,66496481,30133881,1023,4195673,4140307,8391347,17499193,1203,385,3073723,6031770,15682904,"[]","[]",55367,434,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.50,0.17,0.50,55481745,54842173,24991274,469,3467609,3417681,6935218,12202126,1192,371,3377891,6185872,14227524,"[]","[]",49928,375,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.50,0.18,0.50,64237727,63956061,39221342,723,4014858,3993680,8029716,19401127,1147,342,3053210,5328185,22823865,"[]","[]",21178,247,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.50,0.19,0.50,82675004,82185385,29586889,1332,5167188,5126041,10334375,18415636,1138,354,3533257,6605975,15429087,"[]","[]",41147,208,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.50,0.20,0.50,63568517,62733163,22276352,1176,3973032,3884143,7946065,10262291,1232,399,3596204,6726840,14156352,"[]","[]",88890,295,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.50,0.21,0.50,53061702,52578836,26462127,1137,3316356,3269104,6632713,10468462,1166,361,3987197,6965633,16189726,"[]","[]",47252,313,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.50,0.22,0.50,73882766,73272352,27817583,391,4617673,4556136,9235346,17388942,1216,400,3569824,6147088,14188457,"[]","[]",61536,230,E
