MANDATE,ATTACKERS,INEQUALITY,PREMIUM,EFFICIENCY,EFFORT,PAYOFF,CAUGHT,CLAIMS,TAX,d_init,d_end,a_init,a_end,i_init,i_end,g_init,g_end,attacks_attempted,attacks_succeeded,amount_stolen,attacker_expenditures,government_expenditures,crossovers,insurer_tod,paid_claims,final_iter,outcome
0.20,0.60,0.60,0.50,0.00,0.30,0.60,0.50,0.60,0.50,70586329,70341495,27624928,515,4411646,4216600,8823291,13548610,1166,335,3091096,6387619,16951354,"[]","[]",195045,301,E
0.20,0.60,0.60,0.50,0.25,0.30,0.60,0.50,0.60,0.50,73364052,72995168,25488568,258,4585253,4310879,9170507,17173130,1204,395,3474742,6304593,11824352,"[]","[]",274375,330,E
0.20,0.60,0.60,0.50,0.75,0.30,0.60,0.50,0.60,0.50,65896090,65623025,30647669,239,4118506,3928295,8237011,16772060,1156,356,3240122,6234820,16340836,"[]","[]",190210,297,E
0.20,0.60,0.60,0.50,0.03,0.30,0.60,0.50,0.60,0.50,81610732,81226972,27003286,2017,5100671,4794853,10201341,17584191,1181,386,3668126,6540071,13767924,"[]","[]",305818,155,E
0.20,0.60,0.60,0.50,0.12,0.30,0.60,0.50,0.60,0.50,51473572,51202326,23734055,404,3217098,2974347,6434196,12746329,1117,328,3374963,5448682,12486833,"[]","[]",242752,306,E
0.20,0.60,0.60,0.50,0.37,0.30,0.60,0.50,0.60,0.50,59496039,59167890,24932804,1335,3718502,3544658,7437005,11645647,1135,337,3748848,6553733,14671088,"[]","[]",173845,240,E
0.20,0.60,0.60,0.50,0.06,0.30,0.60,0.50,0.60,0.50,72736227,72399495,31072302,245,4546014,4283013,9092028,16749967,1235,419,3875863,6637891,17375961,"[]","[]",263002,337,E
0.20,0.60,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,61942542,61568114,25029938,476,3871409,3624823,7742818,14568955,1131,338,3442486,6255994,12568345,"[]","[]",246586,336,E
0.20,0.60,0.60,0.50,0.68,0.30,0.60,0.50,0.60,0.50,59463573,59180604,28952601,659,3716473,3481666,7432947,14533207,1156,372,4021807,6597332,15772125,"[]","[]",234807,270,E
0.20,0.60,0.60,0.50,0.62,0.30,0.60,0.50,0.60,0.50,63438317,63134346,25481411,1098,3964895,3700807,7929790,17337749,1165,370,3037990,5673971,10966441,"[]","[]",264088,296,E
0.20,0.60,0.60,0.50,0.65,0.30,0.60,0.50,0.60,0.50,55187592,54914697,28464767,387,3449225,3236190,6898449,13126506,1172,370,3799345,6685329,16036923,"[]","[]",213034,290,E
0.20,0.60,0.60,0.50,0.01,0.30,0.60,0.50,0.60,0.50,52552552,52261422,24634118,788,3284535,3065902,6569069,8728501,1251,429,3786089,5850952,17132708,"[]","[]",218633,291,E
0.20,0.60,0.60,0.50,0.76,0.30,0.60,0.50,0.60,0.50,61808880,61359803,28297237,424,3863055,3509959,7726110,15869836,1176,369,4062059,7076177,13879082,"[]","[]",353096,369,E
0.20,0.60,0.60,0.50,0.04,0.30,0.60,0.50,0.60,0.50,47472549,47157445,25895878,925,2967034,2729803,5934069,14231996,1145,367,2972457,5460909,12688452,"[]","[]",237232,153,E
0.20,0.60,0.60,0.50,0.69,0.30,0.60,0.50,0.60,0.50,64038624,63735068,32038872,1381,4002414,3814349,8004828,15477232,1169,363,3078691,6395177,18661530,"[]","[]",188065,150,E
0.20,0.60,0.60,0.50,0.07,0.30,0.60,0.50,0.60,0.50,66305932,65884059,31915629,647,4144121,3781657,8288242,18566607,1144,368,3512072,6450975,15969978,"[]","[]",362464,279,E
0.20,0.60,0.60,0.50,0.63,0.30,0.60,0.50,0.60,0.50,66921094,66485384,32777549,464,4182568,3771868,8365137,13362614,1129,341,3722962,6067867,22558152,"[]","[]",410701,238,E
0.20,0.60,0.60,0.50,0.51,0.30,0.60,0.50,0.60,0.50,69990148,69729132,28701251,443,4374384,4225877,8748769,14669981,1115,341,3182694,5481625,17707493,"[]","[]",148507,250,E
0.20,0.60,0.60,0.50,0.26,0.30,0.60,0.50,0.60,0.50,63209376,62921023,27397983,2432,3950586,3722423,7901172,12499950,1176,363,3343903,6843379,16469911,"[]","[]",228163,459,E
0.20,0.60,0.60,0.50,0.02,0.30,0.60,0.50,0.60,0.50,57219025,56818766,29280617,490,3576189,3232090,7152378,9386691,1208,394,3890384,7159865,20630307,"[]","[]",344099,223,E
0.20,0.60,0.60,0.50,0.38,0.30,0.60,0.50,0.60,0.50,60790689,60468671,28770055,1226,3799418,3522032,7598836,14060391,1178,377,3098384,6070880,16835799,"[]","[]",277386,327,E
0.20,0.60,0.60,0.50,0.66,0.30,0.60,0.50,0.60,0.50,47060181,46787361,19397532,456,2941261,2735168,5882523,10854128,1157,370,2476520,4978910,9925475,"[]","[]",206094,375,E
0.20,0.60,0.60,0.50,0.13,0.30,0.60,0.50,0.60,0.50,77699031,77404483,30098118,467,4856189,4602329,9712379,17904555,1154,354,3287568,5877073,16576810,"[]","[]",253860,575,E
0.20,0.60,0.60,0.50,0.77,0.30,0.60,0.50,0.60,0.50,53769582,53395480,34649562,844,3360599,3107910,6721198,6981965,1158,354,4228631,6742479,28272262,"[]","[]",252689,361,E
0.20,0.60,0.60,0.50,0.05,0.30,0.60,0.50,0.60,0.50,74815095,74437877,26679246,662,4675943,4338308,9351887,15973532,1203,393,3847567,6211015,14560778,"[]","[]",337635,274,E
0.20,0.60,0.60,0.50,0.70,0.30,0.60,0.50,0.60,0.50,60429473,60022748,29189470,355,3776842,3532873,7553684,13457968,1193,391,4617282,6765911,17169614,"[]","[]",243969,299,E
0.20,0.60,0.60,0.50,0.31,0.30,0.60,0.50,0.60,0.50,65869262,65226987,29629452,5,4116829,3610844,8233658,13455348,1225,388,4329674,7506126,18049892,"[]","[]",505985,279,E
0.20,0.60,0.60,0.50,0.52,0.30,0.60,0.50,0.60,0.50,70041401,69712218,30802670,1209,4377588,4129420,8755175,17151231,1231,403,3865758,6706983,16275772,"[]","[]",248168,198,E
0.20,0.60,0.60,0.50,0.08,0.30,0.60,0.50,0.60,0.50,80099616,79663505,28446827,837,5006226,4635004,10012452,17291898,1216,391,3635785,6487422,15486456,"[]","[]",371222,449,E
0.20,0.60,0.60,0.50,0.14,0.30,0.60,0.50,0.60,0.50,71153570,70837255,33878038,1077,4447098,4188513,8894196,20270133,1163,360,3447396,5866566,17209358,"[]","[]",258585,220,E
0.20,0.60,0.60,0.50,0.27,0.30,0.60,0.50,0.60,0.50,78278349,77857379,27749723,409,4892397,4581386,9784794,17020392,1216,390,3838635,6822410,14423285,"[]","[]",311011,360,E
0.20,0.60,0.60,0.50,0.39,0.30,0.60,0.50,0.60,0.50,74184655,73701355,29105041,615,4636541,4276764,9273082,17822436,1204,390,3987368,6985214,14412936,"[]","[]",359777,293,E
0.20,0.60,0.60,0.50,0.67,0.30,0.60,0.50,0.60,0.50,65815979,65489475,35989197,276,4113499,3909300,8226997,10223417,1226,394,4871118,7679362,26843842,"[]","[]",204199,276,E
0.20,0.60,0.60,0.50,0.64,0.30,0.60,0.50,0.60,0.50,83035650,82691805,29784660,2757,5189728,4924335,10379456,19303627,1183,378,3132096,5989259,15477711,"[]","[]",265393,313,E
0.20,0.60,0.60,0.50,0.78,0.30,0.60,0.50,0.60,0.50,57240775,56759320,30786032,1579,3577548,3201155,7155097,12157040,1244,392,3992529,7735398,18904959,"[]","[]",376393,314,E
0.20,0.60,0.60,0.50,0.56,0.30,0.60,0.50,0.60,0.50,61789021,61334908,34668060,1093,3861814,3515149,7723628,14280851,1229,392,3731886,6841888,22068633,"[]","[]",346664,340,E
0.20,0.60,0.60,0.50,0.53,0.30,0.60,0.50,0.60,0.50,67121925,66774096,32291169,1143,4195120,3978962,8390241,11027142,1220,409,4340264,7044544,23172567,"[]","[]",216158,252,E
0.20,0.60,0.60,0.50,0.32,0.30,0.60,0.50,0.60,0.50,73127795,72818400,35995993,602,4570487,4334361,9140974,22520129,1134,347,3945028,6129962,17031796,"[]","[]",236126,414,E
0.20,0.60,0.60,0.50,0.15,0.30,0.60,0.50,0.60,0.50,65251696,64925077,27145474,928,4078231,3834528,8156462,9805883,1187,391,3680899,5806231,20259216,"[]","[]",243703,252,E
0.20,0.60,0.60,0.50,0.28,0.30,0.60,0.50,0.60,0.50,56567355,56064201,29970041,1430,3535460,3202964,7070919,15414071,1209,403,4080112,6574708,15886402,"[]","[]",332495,229,E
0.20,0.60,0.60,0.50,0.40,0.30,0.60,0.50,0.60,0.50,64247390,63842008,26980211,838,4015462,3660201,8030924,14099998,1201,393,3940462,6312342,15358601,"[]","[]",355261,317,E
0.20,0.60,0.60,0.50,0.34,0.30,0.60,0.50,0.60,0.50,77545329,77106730,22874746,1237,4846583,4497651,9693166,14885115,1178,394,3814125,6675257,11793834,"[]","[]",348932,319,E
0.20,0.60,0.60,0.50,0.79,0.30,0.60,0.50,0.60,0.50,67891970,67523069,32036615,715,4243248,3953079,8486496,18693607,1175,329,3446112,6113500,16374360,"[]","[]",290169,290,E
0.20,0.60,0.60,0.50,0.54,0.30,0.60,0.50,0.60,0.50,61086915,60761470,25670856,753,3817932,3557680,7635864,14613103,1178,371,3483666,5972293,13306268,"[]","[]",260253,376,E
0.20,0.60,0.60,0.50,0.57,0.30,0.60,0.50,0.60,0.50,60251923,60013863,28679507,584,3765745,3590119,7531490,12857882,1188,374,3792360,6407781,17358438,"[]","[]",175627,278,E
0.20,0.60,0.60,0.50,0.59,0.30,0.60,0.50,0.60,0.50,51053143,50601174,20660082,335,3190821,2894527,6381643,9386711,1186,388,3773496,6609341,11793600,"[]","[]",296294,128,E
0.20,0.60,0.60,0.50,0.33,0.30,0.60,0.50,0.60,0.50,63542233,63307552,31091405,554,3971390,3786432,7942779,18869857,1175,359,2612918,5724575,14858836,"[]","[]",184957,342,E
0.20,0.60,0.60,0.50,0.18,0.30,0.60,0.50,0.60,0.50,56756964,56451992,29594311,544,3547310,3320785,7094621,18275709,1123,325,2631211,5487604,13456573,"[]","[]",226526,470,E
0.20,0.60,0.60,0.50,0.29,0.30,0.60,0.50,0.60,0.50,86996426,86645089,33550811,1180,5437277,5247028,10874553,15609995,1156,344,4616388,7341120,22014656,"[]","[]",190249,192,E
0.20,0.60,0.60,0.50,0.09,0.30,0.60,0.50,0.60,0.50,64379292,64086152,25625331,1696,4023706,3803734,8047412,12089942,1186,390,3346415,6599908,15494309,"[]","[]",219972,497,E
0.20,0.60,0.60,0.50,0.16,0.30,0.60,0.50,0.60,0.50,65450981,65030805,28360142,556,4090686,3742044,8181373,7742578,1149,355,4213360,6934933,22632264,"[]","[]",348642,423,E
0.20,0.60,0.60,0.50,0.80,0.30,0.60,0.50,0.60,0.50,68708777,68349951,30997550,525,4294299,3999832,8588597,14235818,1219,385,3744902,6930368,19072728,"[]","[]",294467,299,E
0.20,0.60,0.60,0.50,0.58,0.30,0.60,0.50,0.60,0.50,67049775,66729597,34558116,116,4190611,3917034,8381222,19405762,1118,326,3357526,5951125,18176090,"[]","[]",273577,252,E
0.20,0.60,0.60,0.50,0.55,0.30,0.60,0.50,0.60,0.50,75721336,75409838,31014827,611,4732584,4540477,9465167,13614547,1180,374,3560006,6852519,20515921,"[]","[]",192107,212,E
0.20,0.60,0.60,0.50,0.35,0.30,0.60,0.50,0.60,0.50,64443256,63979342,30561784,1339,4027704,3681505,8055407,15714852,1167,389,4039514,6503253,17207861,"[]","[]",346199,413,E
0.20,0.60,0.60,0.50,0.41,0.30,0.60,0.50,0.60,0.50,71495522,71239644,27996712,616,4468470,4248215,8936940,14129265,1164,356,2917872,6179201,17100703,"[]","[]",220255,569,E
0.20,0.60,0.60,0.50,0.60,0.30,0.60,0.50,0.60,0.50,108162252,107695829,31624474,2063,6760141,6492657,13520281,23364338,1168,384,3389151,7288939,15223323,"[]","[]",267484,303,E
0.20,0.60,0.60,0.50,0.61,0.30,0.60,0.50,0.60,0.50,64874046,64544804,29603525,489,4054628,3798305,8109256,15786954,1144,357,3963183,6407832,16103071,"[]","[]",256322,278,E
0.20,0.60,0.60,0.50,0.10,0.30,0.60,0.50,0.60,0.50,64361348,64071346,27971339,262,4022584,3797350,8045169,13850667,1168,370,3976949,6431772,16249043,"[]","[]",225235,255,E
0.20,0.60,0.60,0.50,0.17,0.30,0.60,0.50,0.60,0.50,63031892,62714821,28060234,1649,3939493,3707840,7878987,16321218,1170,366,3000011,6199550,13965527,"[]","[]",231653,211,E
0.20,0.60,0.60,0.50,0.81,0.30,0.60,0.50,0.60,0.50,56159034,55775156,29821565,653,3509940,3231796,7019879,17125196,1155,368,3451701,5831002,14546615,"[]","[]",278144,233,E
0.20,0.60,0.60,0.50,0.30,0.30,0.60,0.50,0.60,0.50,59747219,59472083,28680688,3021,3734201,3549896,7468402,12651344,1186,393,3495638,6136726,17817440,"[]","[]",184305,291,E
0.20,0.60,0.60,0.50,0.73,0.30,0.60,0.50,0.60,0.50,59236883,58987285,26717223,1183,3702305,3518036,7404610,15022284,1141,347,3218676,6306667,13225566,"[]","[]",184269,287,E
0.20,0.60,0.60,0.50,0.43,0.30,0.60,0.50,0.60,0.50,55548802,55183361,31612457,256,3471800,3118763,6943600,12670768,1189,372,4144566,6938911,19664602,"[]","[]",353037,286,E
0.20,0.60,0.60,0.50,0.71,0.30,0.60,0.50,0.60,0.50,75761460,54897171,30915578,6140046,4735091,0,9470182,0,2068,952,28072042,29176442,30668653,"[]","[152,]",4735091,1001,N
0.20,0.60,0.60,0.50,0.36,0.30,0.60,0.50,0.60,0.50,54719033,54354284,33336528,783,3419940,3116233,6839879,16960557,1181,371,4071575,6625904,17257618,"[]","[]",303706,384,E
0.20,0.60,0.60,0.50,0.21,0.30,0.60,0.50,0.60,0.50,59567625,59246370,31016312,801,3722977,3477999,7445953,16013461,1184,408,3353060,5381735,17632499,"[]","[]",244978,228,E
0.20,0.60,0.60,0.50,0.42,0.30,0.60,0.50,0.60,0.50,77146728,76849267,28534191,3743,4821671,4567337,9643341,15658272,1184,386,3414251,7554718,15512594,"[]","[]",254334,218,E
0.20,0.60,0.60,0.50,0.19,0.30,0.60,0.50,0.60,0.50,61499076,61000942,27025953,1768,3843692,3426541,7687384,13883224,1223,406,3711658,6537364,15206267,"[]","[]",417151,313,E
0.20,0.60,0.60,0.50,0.11,0.30,0.60,0.50,0.60,0.50,62608875,62256751,35708462,1213,3913055,3646454,7826109,19078641,1163,361,2839384,5992742,19080701,"[]","[]",266601,310,E
0.20,0.60,0.60,0.50,0.46,0.30,0.60,0.50,0.60,0.50,64452815,64114770,28389843,887,4028301,3819638,8056602,15883346,1149,340,3384299,6886967,14221953,"[]","[]",208663,283,E
0.20,0.60,0.60,0.50,0.82,0.30,0.60,0.50,0.60,0.50,79827963,79489674,31942222,540,4989248,4750963,9978495,16096263,1171,375,3766582,7243408,19157079,"[]","[]",238284,240,E
0.20,0.60,0.60,0.50,0.23,0.30,0.60,0.50,0.60,0.50,80729219,80524823,21531722,708,5045576,4877561,10091152,15507586,1162,345,2969575,5615818,10871173,"[]","[]",168015,207,E
0.20,0.60,0.60,0.50,0.24,0.30,0.60,0.50,0.60,0.50,71093170,70686610,26765460,1165,4443323,4138489,8886646,14598319,1235,410,3112330,6328423,15435594,"[]","[]",304834,354,E
0.20,0.60,0.60,0.50,0.74,0.30,0.60,0.50,0.60,0.50,63965356,63638165,23515570,533,3997835,3735361,7995670,12145769,1186,391,3420331,5969199,13985403,"[]","[]",262474,416,E
0.20,0.60,0.60,0.50,0.44,0.30,0.60,0.50,0.60,0.50,53371645,52666624,34194708,1429,3335728,2856992,6671456,14662283,1166,372,4507385,7131112,20255096,"[]","[]",478735,238,E
0.20,0.60,0.60,0.50,0.88,0.30,0.60,0.50,0.60,0.50,75677643,75368282,29029376,2022,4729853,4467964,9459705,19498129,1149,360,2946048,6017359,13542823,"[]","[]",261889,145,E
0.20,0.60,0.60,0.50,0.72,0.30,0.60,0.50,0.60,0.50,60578075,60359586,31771978,478,3786130,3621125,7572259,15989942,1136,353,3176933,6338914,17398398,"[]","[]",165005,294,E
