MANDATE,ATTACKERS,INEQUALITY,PREMIUM,EFFICIENCY,EFFORT,PAYOFF,CAUGHT,CLAIMS,TAX,d_init,d_end,a_init,a_end,i_init,i_end,g_init,g_end,attacks_attempted,attacks_succeeded,amount_stolen,attacker_expenditures,government_expenditures,crossovers,insurer_tod,paid_claims,final_iter,outcome
0.2,0.6,0.6,0.5,0.5,0.0,0.6,0.5,0.6,0.5,54647658,54647658,24134898,0,3415479,3415479,6830957,30965856,1174,343,11885393,0,0,"[]","[]",0,10,A
0.2,0.6,0.6,0.5,0.5,0.0,0.6,0.5,0.6,0.5,79078120,78864000,34082443,0,4942382,4849401,9884765,37074852,1164,346,4522336,2427122,4772335,"[]","[]",92981,113,A
0.2,0.6,0.6,0.5,0.5,0.2,0.6,0.5,0.6,0.5,68100560,67630140,32981403,331,4256285,3997223,8512570,21747326,1199,374,5259525,6812045,13663754,"[]","[]",259062,161,E
0.2,0.6,0.6,0.5,0.5,0.0,0.6,0.5,0.6,0.5,65087045,65049025,29940464,4,4067940,4066676,8135881,36512287,1215,376,11303786,730685,872652,"[]","[]",1264,63,E
0.2,0.6,0.6,0.5,0.5,0.7,0.6,0.5,0.6,0.5,66649458,66649458,27879731,27879731,4165591,4165591,8331182,8331182,0,0,0,0,0,"[]","[]",0,50,E
0.2,0.6,0.6,0.5,0.5,0.5,0.6,0.5,0.6,0.5,60663545,60663496,30644698,30609317,3791472,3791398,7582943,7552572,4,2,122,138,65737,"[]","[]",73,53,E
0.2,0.6,0.6,0.5,0.5,0.1,0.6,0.5,0.6,0.5,64986712,64746262,29792991,40,4061669,3918716,8123339,27658895,1188,365,4531987,3491808,7148991,"[]","[]",142954,180,E
0.2,0.6,0.6,0.5,0.5,0.5,0.6,0.5,0.6,0.5,66530938,66530905,30733791,30733821,4158184,4158135,8316367,8314497,1,1,81,51,1870,"[]","[]",49,51,E
0.2,0.6,0.6,0.5,0.5,0.8,0.6,0.5,0.6,0.5,66288611,66288611,29356735,29356735,4143038,4143038,8286076,8286076,0,0,0,0,0,"[]","[]",0,50,E
0.2,0.6,0.6,0.5,0.5,0.0,0.6,0.5,0.6,0.5,69936035,69557205,31453134,59,4371002,4276083,8742004,33210785,1235,399,7824512,3022164,4435880,"[]","[]",94919,142,E
0.2,0.6,0.6,0.5,0.5,0.6,0.6,0.5,0.6,0.5,66382425,66382425,27037966,27037966,4148902,4148902,8297803,8297803,0,0,0,0,0,"[]","[]",0,50,E
