MANDATE,ATTACKERS,INEQUALITY,PREMIUM,EFFICIENCY,EFFORT,PAYOFF,CAUGHT,CLAIMS,TAX,d_init,d_end,a_init,a_end,i_init,i_end,g_init,g_end,attacks_attempted,attacks_succeeded,amount_stolen,attacker_expenditures,government_expenditures,crossovers,insurer_tod,paid_claims,final_iter,outcome
0.2,0.6,0.0,0.5,0.5,0.3,0.6,0.5,0.6,0.5,59909871,59909871,0,0,3744367,3744367,7488734,7488734,0,0,0,0,0,"[]","[]",0,1,A
0.2,0.6,0.7,0.5,0.5,0.3,0.6,0.5,0.6,0.5,57920813,57659766,38951298,574,3620051,3414390,7240102,17460418,1146,352,3600949,6966426,22230689,"[]","[]",205660,158,E
0.2,0.6,0.8,0.5,0.5,0.3,0.6,0.5,0.6,0.5,58205449,57849756,49725612,529,3637841,3396764,7275681,19654461,1204,402,5179525,8452138,29490936,"[]","[]",241077,208,E
0.2,0.6,0.6,0.5,0.5,0.3,0.6,0.5,0.6,0.5,71338368,71012623,28538009,1772,4458648,4205679,8917296,18080945,1148,360,2882616,5557600,14393703,"[]","[]",252969,224,E
0.2,0.6,0.5,0.5,0.5,0.3,0.6,0.5,0.6,0.5,73653281,73347725,23776025,1041,4603330,4410241,9206660,14732566,1174,361,2744763,5799181,12948542,"[]","[]",193089,389,E
0.2,0.6,0.3,0.5,0.5,0.3,0.6,0.5,0.6,0.5,68282415,67968664,18289077,1899,4267651,4024123,8535302,13423335,1142,359,2824783,4864565,9091859,"[]","[]",243528,460,E
0.2,0.6,0.3,0.5,0.5,0.3,0.6,0.5,0.6,0.5,63253192,62908973,14170200,4927,3953325,3756524,7906649,11373732,1136,369,2599273,4604093,6635115,"[]","[]",196800,324,E
0.2,0.6,0.7,0.5,0.5,0.3,0.6,0.5,0.6,0.5,55900222,55571889,36217628,516,3493764,3258189,6987528,19428341,1153,371,3211485,6397933,17942275,"[]","[]",235575,183,E
0.2,0.6,0.8,0.5,0.5,0.3,0.6,0.5,0.6,0.5,60099516,59761435,42247138,845,3756220,3489846,7512439,18512664,1199,394,4166094,7556925,24293597,"[]","[]",266374,413,E
0.2,0.6,0.2,0.5,0.5,0.3,0.6,0.5,0.6,0.5,59921300,59617522,12044053,3996,3745081,3474486,7490163,7235153,1154,374,3166277,4434999,8434440,"[]","[]",270595,467,E
0.2,0.6,0.8,0.5,0.5,0.3,0.6,0.5,0.6,0.5,71538597,70992419,32450574,759,4471162,4036216,8942325,16092696,1191,393,4246698,8240697,18039872,"[]","[]",434947,306,E
0.2,0.6,0.6,0.5,0.5,0.3,0.6,0.5,0.6,0.5,61529029,61145600,27884781,999,3845564,3571675,7691129,14999356,1164,375,4329440,6658811,14574061,"[]","[]",273889,215,E
0.2,0.6,0.1,0.5,0.5,0.3,0.6,0.5,0.6,0.5,63667252,63449694,5276756,11773,3979203,3801014,7958406,8909550,1035,326,1233766,2265096,2444490,"[]","[]",178190,384,E
0.2,0.6,0.5,0.5,0.5,0.3,0.6,0.5,0.6,0.5,60293332,59970193,23656828,216,3768333,3494291,7536667,14691430,1221,389,2882856,5513614,11585416,"[]","[]",274042,327,E
0.2,0.6,0.3,0.5,0.5,0.3,0.6,0.5,0.6,0.5,61868069,61590722,19092713,1513,3866754,3655408,7733509,13055768,1161,371,2857037,4429318,9828314,"[]","[]",211346,184,E
0.2,0.6,0.0,0.5,0.5,0.3,0.6,0.5,0.6,0.5,66311188,66177807,2881186,34625,4144449,4012595,8288899,9128206,810,243,646718,1264412,1008077,"[]","[]",131854,279,E
0.2,0.6,0.7,0.5,0.5,0.3,0.6,0.5,0.6,0.5,93919169,93528696,35895455,597,5869948,5627473,11739896,22280506,1230,410,3797323,6821673,19165523,"[]","[]",242475,329,E
0.2,0.6,0.9,0.5,0.5,0.3,0.6,0.5,0.6,0.5,61594154,61322158,43744934,129,3849635,3606797,7699269,20617422,1184,347,3865993,7196334,24145152,"[]","[]",242838,284,E
0.2,0.6,0.8,0.5,0.5,0.3,0.6,0.5,0.6,0.5,68984638,68456293,36771556,2602,4311540,3878056,8623080,14133602,1213,411,4864540,8321051,23899209,"[]","[]",433483,179,E
0.2,0.6,0.6,0.5,0.5,0.3,0.6,0.5,0.6,0.5,64723307,64387371,28003041,445,4045207,3825243,8090413,16260976,1129,343,4150535,6280306,14107627,"[]","[]",219963,301,E
0.2,0.6,0.5,0.5,0.5,0.3,0.6,0.5,0.6,0.5,62527180,62179798,20586811,848,3907949,3670087,7815897,12193144,1179,383,3415752,5872700,10921260,"[]","[]",237862,260,E
0.2,0.6,0.3,0.5,0.5,0.3,0.6,0.5,0.6,0.5,64872063,64513225,13421378,2631,4054504,3716189,8109008,11140891,1151,386,2736116,4735947,6348070,"[]","[]",338315,576,E
0.2,0.6,0.7,0.5,0.5,0.3,0.6,0.5,0.6,0.5,69824146,69467993,30860406,548,4364009,4074895,8728018,14061992,1233,397,3309018,6331224,19839927,"[]","[]",289114,345,E
0.2,0.6,0.2,0.5,0.5,0.3,0.6,0.5,0.6,0.5,62305559,61879420,14304480,1336,3894097,3657663,7788195,10517993,1124,355,2956920,4136039,8099880,"[]","[]",236434,497,E
0.2,0.6,0.3,0.5,0.5,0.3,0.6,0.5,0.6,0.5,64106569,63719056,20280905,1159,4006661,3713117,8013321,10178969,1194,375,3188996,5185179,13609975,"[]","[]",293543,376,E
0.2,0.6,0.0,0.5,0.5,0.3,0.6,0.5,0.6,0.5,65682201,65619192,590907,45410,4105138,4036820,8210275,8284712,468,151,245367,409385,193001,"[]","[]",68317,242,E
0.2,0.6,0.1,0.5,0.5,0.3,0.6,0.5,0.6,0.5,63586176,63392589,5892370,13415,3974136,3808090,7948272,8732365,992,299,1085124,2281619,3172875,"[]","[]",166046,283,E
0.2,0.6,0.8,0.5,0.5,0.3,0.6,0.5,0.6,0.5,75354301,75035731,44211007,699,4709644,4479008,9419288,17945267,1145,343,4306190,6905523,29328013,"[]","[]",230636,192,E
0.2,0.6,0.6,0.5,0.5,0.3,0.6,0.5,0.6,0.5,69723215,69443913,46813730,809,4357701,4160687,8715402,20674724,1120,349,3401484,6547957,28781957,"[]","[]",197014,265,E
