MANDATE,ATTACKERS,INEQUALITY,PREMIUM,EFFICIENCY,EFFORT,PAYOFF,CAUGHT,CLAIMS,TAX,d_init,d_end,a_init,a_end,i_init,i_end,g_init,g_end,attacks_attempted,attacks_succeeded,amount_stolen,attacker_expenditures,government_expenditures,crossovers,insurer_tod,paid_claims,final_iter,outcome
0.0,0.6,0.6,0.5,0.5,0.3,0.6,0.5,0.6,0.5,66151372,65656499,24253201,1389,1055607,752219,2111214,7274044,1217,410,4346034,6376913,13510330,"[]","[2,2,3,3,3,4,]",303388,229,E
0.1,0.6,0.6,0.5,0.5,0.3,0.6,0.5,0.6,0.5,68260905,67809108,36952690,1569,2327076,1966411,4654153,15444653,1175,360,3704519,7124204,19848879,"[]","[]",360666,229,E
0.0,0.6,0.6,0.5,0.5,0.3,0.6,0.5,0.6,0.5,68371034,67869604,32569575,346,1690493,1274708,3380985,10710021,1234,416,4707588,6982391,19175015,"[]","[]",415784,331,E
0.2,0.6,0.6,0.5,0.5,0.3,0.6,0.5,0.6,0.5,75671857,75189505,26252239,1782,6305988,5899114,12611976,18475829,1246,436,3782143,7270079,14005752,"[]","[]",406875,349,E
0.0,0.6,0.6,0.5,0.5,0.3,0.6,0.5,0.6,0.5,73278420,72757672,27976199,1844,566586,360735,1133171,3795408,1204,397,5301486,7374927,18663791,"[]","[1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,]",205851,367,E
0.7,0.6,0.6,0.5,0.5,0.3,0.6,0.5,0.6,0.5,21948309,21948309,26394422,26394422,16461232,16461232,32922464,32922464,0,0,0,0,0,"[1,]","[]",0,50,E
0.6,0.6,0.6,0.5,0.5,0.3,0.6,0.5,0.6,0.5,32364499,32364483,25662260,25529750,13201309,13201285,26402618,26487212,2,1,39,43,47912,"[]","[]",23,53,E
0.6,0.6,0.6,0.5,0.5,0.3,0.6,0.5,0.6,0.5,27336580,27336424,23095634,22869843,14522558,14522324,29045117,29171244,19,6,390,776,99277,"[]","[]",234,61,E
0.5,0.6,0.6,0.5,0.5,0.3,0.6,0.5,0.6,0.5,37355193,37355112,30046421,28746311,11885743,11885622,23771486,24662500,12,3,202,370,408930,"[]","[]",121,66,E
0.0,0.6,0.6,0.5,0.5,0.3,0.6,0.5,0.6,0.5,74068973,73652546,43339032,522,1393771,1156433,2787542,12043176,1178,350,5289746,7569347,27167295,"[]","[2,2,2,3,3,5,]",237338,248,E
0.1,0.6,0.6,0.5,0.5,0.3,0.6,0.5,0.6,0.5,64964689,64717978,27379323,343,2426842,2234990,4853684,11310399,1191,388,3658788,6102929,15257898,"[]","[]",191851,298,E
0.5,0.6,0.6,0.5,0.5,0.3,0.6,0.5,0.6,0.5,37990519,37873475,27222120,24958513,9497630,9322064,18995260,19933364,55,19,292611,510728,1107385,"[]","[]",175566,105,E
0.1,0.6,0.6,0.5,0.5,0.3,0.6,0.5,0.6,0.5,72878146,72417687,26284574,396,2024393,1522247,4048786,8602017,1215,378,4067610,6713156,15980396,"[]","[]",502146,419,E
0.2,0.6,0.6,0.5,0.5,0.3,0.6,0.5,0.6,0.5,61128384,60776584,27186277,166,5369385,5095877,10738770,16172518,1185,372,3751956,6398724,15978947,"[]","[]",273508,273,E
0.3,0.6,0.6,0.5,0.5,0.3,0.6,0.5,0.6,0.5,50297556,50021000,24916339,15637,7384959,7200637,14769917,21035002,1116,382,2961933,6069617,13026879,"[]","[]",184322,492,E
