MANDATE,ATTACKERS,INEQUALITY,PREMIUM,EFFICIENCY,EFFORT,PAYOFF,CAUGHT,CLAIMS,TAX,d_init,d_end,a_init,a_end,i_init,i_end,g_init,g_end,attacks_attempted,attacks_succeeded,amount_stolen,attacker_expenditures,government_expenditures,crossovers,insurer_tod,paid_claims,final_iter,outcome
0.2,0.6,0.6,0.5,0.5,0.3,1.0,0.5,0.6,0.5,65310301,64848057,24155158,346,4081894,3787707,8163788,10973313,1167,365,5512335,6274451,15827267,"[]","[]",294187,163,E
0.2,0.6,0.6,0.5,0.5,0.3,0.8,0.5,0.6,0.5,61604294,61204291,25026403,336,3850268,3596343,7700537,13879898,1175,364,4138203,5831953,13668680,"[]","[]",253925,205,E
0.2,0.6,0.6,0.5,0.5,0.3,0.7,0.5,0.6,0.5,62058238,61693395,30202319,98,3878640,3642464,7757280,15985578,1151,360,4676473,6310810,16264132,"[]","[]",236176,209,E
0.2,0.6,0.6,0.5,0.5,0.3,0.9,0.5,0.6,0.5,67400514,67066740,32493511,307,4212532,3983869,8425064,13922711,1167,365,5565090,6267003,21290992,"[]","[]",228663,217,E
0.2,0.6,0.6,0.5,0.5,0.3,0.6,0.5,0.6,0.5,60491706,60181023,35754759,563,3780732,3578377,7561463,18060759,1146,344,3268960,5693194,20074745,"[]","[]",202355,331,E
0.2,0.6,0.6,0.5,0.5,0.3,0.2,0.5,0.6,0.5,68393920,68393862,21024178,21024262,4274620,4274532,8549240,8500272,2,2,146,62,48968,"[]","[]",88,53,E
0.2,0.6,0.6,0.5,0.5,0.3,0.3,0.5,0.6,0.5,65673056,65672998,28896765,28820835,4104566,4104478,8209132,8259729,3,2,146,93,25387,"[]","[]",88,54,E
0.2,0.6,0.6,0.5,0.5,0.3,0.1,0.5,0.6,0.5,69564058,69563942,31938628,31742337,4347754,4347579,8695507,8820946,13,4,291,398,70746,"[]","[]",174,68,E
0.2,0.6,0.6,0.5,0.5,0.3,0.4,0.5,0.6,0.5,62607953,62603629,29894571,28524767,3912997,3906512,7825994,8457490,38,9,10896,9708,739408,"[]","[]",6485,77,E
0.2,0.6,0.6,0.5,0.5,0.3,0.5,0.5,0.6,0.5,67816588,66985631,27746619,3414130,4238537,3361395,8477074,15020093,652,231,3767424,7762885,11734682,"[]","[]",877142,319,E
