MANDATE,ATTACKERS,INEQUALITY,PREMIUM,EFFICIENCY,EFFORT,PAYOFF,CAUGHT,CLAIMS,TAX,d_init,d_end,a_init,a_end,i_init,i_end,g_init,g_end,attacks_attempted,attacks_succeeded,amount_stolen,attacker_expenditures,government_expenditures,crossovers,insurer_tod,paid_claims,final_iter,outcome
0.2,0.6,0.6,0.0,0.5,0.3,0.6,0.5,0.6,0.5,69157916,68373354,23346281,4022,0,0,8644739,13498155,1136,369,3641290,6743188,12530217,"[]","[]",0,349,E
0.2,0.6,0.6,0.5,0.5,0.3,0.6,0.5,0.6,0.5,50077367,49718573,22965028,339,3129835,2883186,6259671,13321710,1156,372,3063341,5726884,10781208,"[]","[]",246650,396,E
0.2,0.6,0.6,0.1,0.5,0.3,0.6,0.5,0.6,0.5,73064083,72687990,26787402,860,913301,622713,9133010,15574860,1204,404,3839192,6021210,14990162,"[]","[2,]",290588,259,E
0.2,0.6,0.6,0.7,0.5,0.3,0.6,0.5,0.6,0.5,54035833,53687523,25604953,396,5065859,4826913,6754479,13259116,1161,360,3356583,5582295,14104881,"[]","[]",238947,367,E
0.2,0.6,0.6,0.0,0.5,0.3,0.6,0.5,0.6,0.5,67791447,67400667,27572506,320,762654,499394,8473931,17382531,1116,325,2939522,6616229,12701397,"[]","[]",263260,343,E
0.2,0.6,0.6,0.1,0.5,0.3,0.6,0.5,0.6,0.5,65760045,65443481,27943150,445,986401,715961,8220006,17366216,1152,364,2914976,5877169,13506329,"[]","[]",270439,383,E
0.2,0.6,0.6,0.2,0.5,0.3,0.6,0.5,0.6,0.5,59998457,59536049,24980393,3178,1874952,1454304,7499807,15096680,1187,403,3606082,6429093,11834305,"[]","[]",420647,285,E
0.2,0.6,0.6,0.0,0.5,0.3,0.6,0.5,0.6,0.5,77147517,76662527,36265368,4337,289303,120844,9643440,20891083,1123,367,3985384,7019861,18646976,"[]","[1,2,2,2,3,3,3,3,4,5,5,5,6,6,6,6,7,7,7,8,9,10,10,10,12,12,13,13,13,14,14,]",168459,347,E
0.2,0.6,0.6,0.1,0.5,0.3,0.6,0.5,0.6,0.5,73542108,73221348,28764551,2175,1654697,1417849,9192763,16220980,1148,353,4066485,6845984,15445784,"[]","[]",236849,365,E
0.2,0.6,0.6,0.0,0.5,0.3,0.6,0.5,0.6,0.5,54502116,53452323,21515712,15820,68128,0,6812764,9912217,1181,420,4108837,6849452,12668907,"[]","[1,2,3,3,3,4,5,6,6,7,7,8,8,8,11,12,13,13,14,15,16,16,17,18,21,22,24,25,27,32,33,35,37,38,39,42,43,45,65,68,75,139,276,356,]",68128,406,E
