MANDATE,ATTACKERS,INEQUALITY,PREMIUM,EFFICIENCY,EFFORT,PAYOFF,CAUGHT,CLAIMS,TAX,d_init,d_end,a_init,a_end,i_init,i_end,g_init,g_end,attacks_attempted,attacks_succeeded,amount_stolen,attacker_expenditures,government_expenditures,crossovers,insurer_tod,paid_claims,final_iter,outcome
0.2,0.6,0.6,0.5,0.5,0.3,0.6,0.5,0.6,0.0,66301551,55493738,28810556,30626030,8287694,0,0,0,610,422,19095507,17280033,0,"[]","[82,]",8287694,295,E
0.2,0.6,0.6,0.5,0.5,0.3,0.6,0.5,0.6,0.1,52351074,51929711,34422620,8398,5889496,5545913,1308777,10214019,1140,386,3768332,7279907,18994018,"[]","[]",343582,499,E
0.2,0.6,0.6,0.5,0.5,0.3,0.6,0.5,0.6,0.2,76541135,76165794,33143796,1346,7654113,7353490,3827057,12692352,1166,372,3619980,6669847,18283272,"[]","[]",300624,276,E
0.2,0.6,0.6,0.5,0.5,0.3,0.6,0.5,0.6,0.3,64788370,64159816,28054574,245,5668982,5340501,4859128,9619947,1228,405,4296310,8008098,16242447,"[]","[]",328482,360,E
0.2,0.6,0.6,0.5,0.5,0.3,0.6,0.5,0.6,0.4,73957785,73607144,23450913,1300,5546834,5327135,7395779,10119129,1197,376,4733560,6885538,14411063,"[]","[]",219699,357,E
0.2,0.6,0.6,0.5,0.5,0.3,0.6,0.5,0.6,0.5,64837314,64534082,32066021,1690,4052332,3810271,8104664,14122131,1153,365,4265491,7037041,19555116,"[]","[]",242061,231,E
0.2,0.6,0.6,0.5,0.5,0.3,0.6,0.5,0.6,0.6,66620630,66223069,28370852,334,3331031,3037929,9993094,16368757,1232,407,4073459,7839449,14846069,"[]","[]",293102,430,E
0.2,0.6,0.6,0.5,0.5,0.3,0.6,0.5,0.6,0.7,66927487,66484272,25924538,375,2509781,2182617,11712310,17276692,1226,416,4133206,6848134,14282026,"[]","[]",327164,361,E
0.2,0.6,0.6,0.5,0.5,0.3,0.6,0.5,0.6,0.8,56599076,56226873,32217787,1061,1414977,1139313,11319815,19571394,1182,375,4110736,6150564,18462450,"[]","[2,]",275664,313,E
0.2,0.6,0.6,0.5,0.5,0.3,0.6,0.5,0.6,0.9,73504018,73296616,29860504,300,918800,792323,16538404,23859866,1163,355,2776559,5348479,17524144,"[]","[]",126478,308,E
0.2,0.6,0.6,0.5,0.5,0.3,0.6,0.5,0.6,1.0,62652189,62142782,26179545,2081,0,0,15663047,19503513,1184,372,3896457,6403629,16442775,"[]","[]",0,186,E
