TAX,PREMIUM,MANDATE,result
0,0,0,6978970
0,0,1,1454715
0,0,2,898184
0,0,3,695253
0,0,4,577647
0,0,5,395231
0,1,0,6976149
0,1,1,1454605
0,1,2,861117
0,1,3,674085
0,1,4,559226
0,1,5,474818
0,2,0,7121550
0,2,1,1366038
0,2,2,826839
0,2,3,694804
0,2,4,498328
0,2,5,492441
0,3,0,7282984
0,3,1,1286523
0,3,2,785170
0,3,3,595602
0,3,4,509389
0,3,5,540332
0,4,0,7527300
0,4,1,1207503
0,4,2,712445
0,4,3,559810
0,4,4,528862
0,4,5,464080
0,5,0,7775418
0,5,1,1133388
0,5,2,662297
0,5,3,525242
0,5,4,511433
0,5,5,392222
0,6,0,8039405
0,6,1,1061718
0,6,2,578811
0,6,3,469422
0,6,4,402503
0,6,5,448141
0,7,0,8403542
0,7,1,984718
0,7,2,483739
0,7,3,405756
0,7,4,373752
0,7,5,348493
0,8,0,8792266
0,8,1,899795
0,8,2,409934
0,8,3,312466
0,8,4,280622
0,8,5,304917
0,9,0,9285084
0,9,1,815221
0,9,2,342119
0,9,3,211177
0,9,4,164083
0,9,5,182316
0,10,0,9789320
0,10,1,733406
0,10,2,255753
0,10,3,127059
0,10,4,64276
0,10,5,30186
1,0,0,6860898
1,0,1,1668361
1,0,2,881785
1,0,3,640259
1,0,4,520828
1,0,5,427869
1,1,0,6843096
1,1,1,1759555
1,1,2,863082
1,1,3,651774
1,1,4,453120
1,1,5,429373
1,2,0,6943819
1,2,1,1726368
1,2,2,832411
1,2,3,576954
1,2,4,437517
1,2,5,482931
1,3,0,7128046
1,3,1,1680694
1,3,2,769748
1,3,3,517414
1,3,4,486780
1,3,5,417318
1,4,0,7311961
1,4,1,1626975
1,4,2,721862
1,4,3,522179
1,4,4,453050
1,4,5,363973
1,5,0,7509740
1,5,1,1571638
1,5,2,676636
1,5,3,476668
1,5,4,376818
1,5,5,388500
1,6,0,7727429
1,6,1,1517359
1,6,2,591113
1,6,3,417277
1,6,4,374485
1,6,5,372337
1,7,0,8045305
1,7,1,1453510
1,7,2,522257
1,7,3,387671
1,7,4,321774
1,7,5,269483
1,8,0,8339557
1,8,1,1386069
1,8,2,471194
1,8,3,292073
1,8,4,259531
1,8,5,251576
1,9,0,8734531
1,9,1,1318616
1,9,2,416581
1,9,3,223729
1,9,4,149352
1,9,5,157191
1,10,0,9108254
1,10,1,1254242
1,10,2,346303
1,10,3,159671
1,10,4,84120
1,10,5,47410
2,0,0,6994845
2,0,1,1605686
2,0,2,838604
2,0,3,651699
2,0,4,459280
2,0,5,449886
2,1,0,6953231
2,1,1,1716866
2,1,2,819545
2,1,3,579871
2,1,4,441897
2,1,5,488590
2,2,0,7109460
2,2,1,1699095
2,2,2,764014
2,2,3,512799
2,2,4,491848
2,2,5,422784
2,3,0,7269080
2,3,1,1662731
2,3,2,718311
2,3,3,523542
2,3,4,449588
2,3,5,376748
2,4,0,7452638
2,4,1,1619449
2,4,2,682015
2,4,3,481943
2,4,4,427330
2,4,5,336625
2,5,0,7621458
2,5,1,1578680
2,5,2,613714
2,5,3,442325
2,5,4,347058
2,5,5,396765
2,6,0,7844405
2,6,1,1530854
2,6,2,542249
2,6,3,392951
2,6,4,351914
2,6,5,337627
2,7,0,8114574
2,7,1,1474370
2,7,2,484047
2,7,3,352923
2,7,4,280129
2,7,5,293957
2,8,0,8428622
2,8,1,1415413
2,8,2,445484
2,8,3,261310
2,8,4,242430
2,8,5,206741
2,9,0,8766935
2,9,1,1357746
2,9,2,393470
2,9,3,209786
2,9,4,136396
2,9,5,135667
2,10,0,9089037
2,10,1,1302480
2,10,2,330405
2,10,3,152712
2,10,4,80506
2,10,5,44860
3,0,0,7147357
3,0,1,1545711
3,0,2,789920
3,0,3,548984
3,0,4,474436
3,0,5,493592
3,1,0,7142674
3,1,1,1660911
3,1,2,752163
3,1,3,520917
3,1,4,498009
3,1,5,425326
3,2,0,7273775
3,2,1,1649327
3,2,2,717738
3,2,3,526605
3,2,4,452837
3,2,5,379718
3,3,0,7426812
3,3,1,1627175
3,3,2,684023
3,3,3,488019
3,3,4,439041
3,3,5,334930
3,4,0,7565840
3,4,1,1597771
3,4,2,631455
3,4,3,454405
3,4,4,338695
3,4,5,411834
3,5,0,7741545
3,5,1,1562302
3,5,2,560887
3,5,3,402605
3,5,4,367792
3,5,5,364869
3,6,0,8009755
3,6,1,1519096
3,6,2,507640
3,6,3,379389
3,6,4,324186
3,6,5,259934
3,7,0,8215472
3,7,1,1469993
3,7,2,463739
3,7,3,313426
3,7,4,258025
3,7,5,279345
3,8,0,8509703
3,8,1,1422779
3,8,2,426005
3,8,3,239477
3,8,4,215472
3,8,5,186564
3,9,0,8808435
3,9,1,1371072
3,9,2,378304
3,9,3,201222
3,9,4,128566
3,9,5,112401
3,10,0,9077585
3,10,1,1325796
3,10,2,323532
3,10,3,150048
3,10,4,78924
3,10,5,44115
4,0,0,7366136
4,0,1,1479579
4,0,2,716788
4,0,3,527809
4,0,4,483684
4,0,5,426004
4,1,0,7335366
4,1,1,1595149
4,1,2,702501
4,1,3,529457
4,1,4,463576
4,1,5,373951
4,2,0,7458378
4,2,1,1598061
4,2,2,679524
4,2,3,488544
4,2,4,434429
4,2,5,341064
4,3,0,7566462
4,3,1,1585666
4,3,2,631690
4,3,3,459040
4,3,4,341252
4,3,5,415890
4,4,0,7714559
4,4,1,1565515
4,4,2,569436
4,4,3,411659
4,4,4,370130
4,4,5,368701
4,5,0,7929116
4,5,1,1533192
4,5,2,523147
4,5,3,385244
4,5,4,337840
4,5,5,291461
4,6,0,8105615
4,6,1,1495990
4,6,2,479156
4,6,3,350233
4,6,4,277098
4,6,5,291908
4,7,0,8315814
4,7,1,1457482
4,7,2,449509
4,7,3,278983
4,7,4,252400
4,7,5,245812
4,8,0,8574167
4,8,1,1417005
4,8,2,411443
4,8,3,226327
4,8,4,185805
4,8,5,185253
4,9,0,8848069
4,9,1,1375790
4,9,2,368508
4,9,3,193349
4,9,4,122341
4,9,5,91943
4,10,0,9069810
4,10,1,1338193
4,10,2,321419
4,10,3,148898
4,10,4,78205
4,10,5,43475
5,0,0,7601505
5,0,1,1413794
5,0,2,669787
5,0,3,500170
5,0,4,462921
5,0,5,351823
5,1,0,7541130
5,1,1,1533082
5,1,2,653268
5,1,3,481762
5,1,4,390569
5,1,5,400189
5,2,0,7632469
5,2,1,1544007
5,2,2,611718
5,2,3,452812
5,2,4,353043
5,2,5,405951
5,3,0,7744396
5,3,1,1538110
5,3,2,564000
5,3,3,408436
5,3,4,375079
5,3,5,369979
5,4,0,7931594
5,4,1,1518566
5,4,2,525010
5,4,3,390875
5,4,4,340541
5,4,5,293414
5,5,0,8077867
5,5,1,1495476
5,5,2,487549
5,5,3,363977
5,5,4,291002
5,5,5,284129
5,6,0,8244022
5,6,1,1464918
5,6,2,459873
5,6,3,302902
5,6,4,257447
5,6,5,270838
5,7,0,8463427
5,7,1,1437376
5,7,2,432144
5,7,3,248471
5,7,4,229570
5,7,5,189012
5,8,0,8657315
5,8,1,1404596
5,8,2,398026
5,8,3,217519
5,8,4,154475
5,8,5,168069
5,9,0,8880855
5,9,1,1374173
5,9,2,361378
5,9,3,187132
5,9,4,115572
5,9,5,80890
5,10,0,9065981
5,10,1,1344785
5,10,2,319880
5,10,3,148518
5,10,4,78127
5,10,5,42709
6,0,0,7839626
6,0,1,1356005
6,0,2,586571
6,0,3,446180
6,0,4,353620
6,0,5,417998
6,1,0,7768579
6,1,1,1469578
6,1,2,559549
6,1,3,424927
6,1,4,388201
6,1,5,389166
6,2,0,7865171
6,2,1,1478096
6,2,2,537590
6,2,3,404709
6,2,4,365378
6,2,5,349056
6,3,0,8021702
6,3,1,1475405
6,3,2,511715
6,3,3,392205
6,3,4,333391
6,3,5,265582
6,4,0,8113365
6,4,1,1463366
6,4,2,484630
6,4,3,359459
