param,0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0
ATTACKERS,,172093296,172962060,173328522,170566146,169651836,169727958,169684398,169729098,169737684,169747566
CAUGHT,155451048,155451402,155460132,155448468,155451084,155444688,155445816,155426046,155417736,155355024,152877120
CLAIMS,,170724876,170725230,170726460,170726400,170722650,170727654,170725266,170721732,170717400,170710896
EFFICIENCY,,170734494,170733708,170730360,170733444,170730708,170741616,170711670,170695962,170703462,170713140
EFFORT,,279273666,279202842,279051564,277485276,265587330,208610364,92294958,25654638,67926,0
INEQUALITY,,170322282,170703480,170746320,170638938,170683926,170793702,170804184,170842584,170835120,170858028
MANDATE,284538094,284538094,284538094,284538094,284538094,284538094,,,,,
PAYOFF,,159694554,159790770,159877320,159963228,160249980,160727916,163087506,173155854,195565626,215115810
PREMIUM,127205982,154210836,155187090,156286128,157436622,158826372,160632222,162938760,166153440,171340104,137011008
TAX,442036446,443564424,445491660,376136034,0,0,0,0,0,0,0
