TAX,PREMIUM,keep0,neighbors0,toss0,keep1,neighbors1,toss1,keep2,neighbors2,toss2,keep3,neighbors3,toss3,keep4,neighbors4,toss4,keep5,neighbors5,toss5
0.0,0.0,5745465,596071,4658464,4744075,1597461,4658464,3955475,2386061,4658464,3210824,3130712,4658464,2520310,3821226,4658464,2072151,4269385,4658464
0.0,0.1,5742365,629511,4628124,4853898,1517978,4628124,4082343,2289533,4628124,3370199,3001677,4628124,2729725,3642151,4628124,2147929,4223947,4628124
0.0,0.2,5743392,666349,4590259,4968314,1441427,4590259,4241224,2168517,4590259,3532273,2877468,4590259,2985245,3424496,4590259,2329404,4080337,4590259
0.0,0.3,5742835,719571,4537594,5077851,1384555,4537594,4418954,2043452,4537594,3851044,2611362,4537594,3251745,3210661,4537594,2513742,3948664,4537594
0.0,0.4,5743102,774954,4481944,5191384,1326672,4481944,4639611,1878445,4481944,4098231,2419825,4481944,3453056,3065000,4481944,2872178,3645878,4481944
0.0,0.5,5743611,827804,4428585,5295116,1276299,4428585,4822023,1749392,4428585,4328808,2242607,4428585,3754424,2816991,4428585,3258178,3313237,4428585
0.0,0.6,5742589,902689,4354722,5401902,1243376,4354722,5045935,1599343,4354722,4645083,2000195,4354722,4231447,2413831,4354722,3585093,3060185,4354722
0.0,0.7,5744103,998500,4257397,5518612,1223991,4257397,5306073,1436530,4257397,5009832,1732771,4257397,4604924,2137679,4257397,4184970,2557633,4257397
0.0,0.8,5743382,1132542,4124076,5651636,1224288,4124076,5560492,1315432,4124076,5413942,1461982,4124076,5191160,1684764,4124076,4780033,2095891,4124076
0.0,0.9,5745407,1360366,3894227,5797739,1308034,3894227,5840262,1265511,3894227,5877563,1228210,3894227,5861994,1243779,3894227,5691218,1414555,3894227
0.0,1.0,5743842,1884291,3371867,5957000,1671133,3371867,6192175,1435958,3371867,6453544,1174589,3371867,6717795,910338,3371867,6971535,656598,3371867
0.1,0.0,5744643,620672,4634685,4782788,1582527,4634685,3994553,2370762,4634685,3275678,3089637,4634685,2643979,3721336,4634685,2072893,4292422,4634685
0.1,0.1,5744122,656081,4599797,4887966,1512237,4599797,4132708,2267495,4599797,3415259,2984944,4599797,2867679,3532524,4599797,2226116,4174087,4599797
0.1,0.2,5743947,700564,4555489,4986498,1458013,4555489,4282306,2162205,4555489,3665669,2778842,4555489,3117583,3326928,4555489,2364772,4079739,4555489
0.1,0.3,5743540,753521,4502939,5085911,1411150,4502939,4479022,2018039,4502939,3937401,2559660,4502939,3270379,3226682,4502939,2658562,3838499,4502939
0.1,0.4,5744434,797145,4458421,5181997,1359582,4458421,4649569,1892010,4458421,4109862,2431717,4458421,3503491,3038088,4458421,2993631,3547948,4458421
0.1,0.5,5743379,854026,4402595,5274778,1322627,4402595,4818952,1778453,4402595,4350874,2246531,4402595,3892486,2704919,4402595,3299856,3297549,4402595
0.1,0.6,5743468,929055,4327477,5372014,1300509,4327477,5040707,1631816,4327477,4682956,1989567,4327477,4220250,2452273,4327477,3644019,3028504,4327477
0.1,0.7,5744344,1027499,4228157,5483177,1288666,4228157,5278278,1493565,4228157,4976674,1795169,4228157,4614111,2157732,4228157,4241960,2529883,4228157
0.1,0.8,5743256,1157972,4098772,5602198,1299030,4098772,5495917,1405311,4098772,5364152,1537076,4098772,5137865,1763363,4098772,4782904,2118324,4098772
0.1,0.9,5744523,1381757,3873720,5736625,1389655,3873720,5750373,1375907,3873720,5772505,1353775,3873720,5772772,1353508,3873720,5612030,1514250,3873720
0.1,1.0,5744190,1865266,3390544,5877895,1731561,3390544,6069117,1540339,3390544,6291758,1317698,3390544,6526685,1082771,3390544,6752754,856702,3390544
0.2,0.0,5745084,655270,4599646,4862020,1538334,4599646,4107850,2292504,4599646,3396944,3003410,4599646,2857331,3543023,4599646,2222078,4178276,4599646
0.2,0.1,5744526,696060,4559414,4949530,1491056,4559414,4240489,2200097,4559414,3625416,2815170,4559414,3081932,3358654,4559414,2336731,4103855,4559414
0.2,0.2,5742551,744362,4513087,5036597,1450316,4513087,4414521,2072392,4513087,3874999,2611914,4513087,3210095,3276818,4513087,2592180,3894733,4513087
0.2,0.3,5743831,782898,4473271,5123382,1403347,4473271,4569002,1957727,4473271,4019307,2507422,4473271,3411684,3115045,4473271,2890504,3636225,4473271
0.2,0.4,5742494,827935,4429571,5206176,1364253,4429571,4709571,1860858,4429571,4221570,2348859,4429571,3682498,2887931,4429571,3191702,3378727,4429571
0.2,0.5,5742875,887739,4369386,5288446,1342168,4369386,4891727,1738887,4369386,4472150,2158464,4369386,4055909,2574705,4369386,3420940,3209674,4369386
0.2,0.6,5743904,961022,4295074,5378856,1326070,4295074,5092951,1611975,4295074,4764166,1940760,4295074,4327018,2377908,4295074,3837215,2867711,4295074
0.2,0.7,5743273,1060092,4196635,5480317,1323048,4196635,5301426,1501939,4196635,5041160,1762205,4196635,4758033,2045332,4196635,4317501,2485864,4196635
0.2,0.8,5743934,1195318,4060748,5590534,1348718,4060748,5491661,1447591,4060748,5403285,1535967,4060748,5194011,1745241,4060748,4931642,2007610,4060748
0.2,0.9,5744552,1403311,3852137,5710487,1437376,3852137,5726761,1421102,3852137,5756417,1391446,3852137,5773642,1374221,3852137,5652889,1494974,3852137
0.2,1.0,5744122,1853457,3402421,5834911,1762668,3402421,6006498,1591081,3402421,6221108,1376471,3402421,6450141,1147438,3402421,6669128,928451,3402421
