PERCENT_EVIL,PAYOFF,WEALTH_GAP,SEC_INVESTMENT_CONVERSION_RATE,ATTACK_COST_CONVERSION_RATE,CHANCE_OF_GETTING_CAUGHT,SEC_INVESTMENT,d_init,d_end,a_init,a_end,final_iter,crossover
0.5,0.8,0.5,0.5,0.1,0.0,0.7,98632089.0,98632089.0,68061103.0,68061103.0,50,-1
0.5,0.8,0.5,0.5,0.2,0.0,0.7,93126141.9,93126141.9,46359720.0,46359720.0,50,-1
0.5,0.8,0.5,0.5,0.3,0.0,0.7,76958578.2,76958578.2,73219560.0,73219560.0,50,-1
0.5,0.8,0.5,0.5,0.4,0.0,0.7,78585974.7,78585974.7,59578665.5,59578665.5,50,-1
0.5,0.8,0.5,0.5,0.5,0.0,0.7,63864225.6,63864225.6,81744588.5,81744588.5,50,0
0.5,0.8,0.5,0.5,0.6,0.0,0.7,78617908.8,78617908.8,79047897.0,79047897.0,50,0
0.5,0.8,0.5,0.5,0.7,0.0,0.7,76200301.2,76200301.2,47957368.5,47957368.5,50,-1
0.5,0.8,0.5,0.5,0.8,0.0,0.7,86628083.7,86628083.7,65734239.0,65734239.0,50,-1
0.5,0.8,0.5,0.5,0.9,0.0,0.7,80535920.7,80535920.7,72499274.0,72499274.0,50,-1
0.5,0.8,0.5,0.5,1.0,0.0,0.7,84214261.8,84214261.8,81499812.5,81499812.5,50,-1
