PERCENT_EVIL,PAYOFF,WEALTH_GAP,SEC_INVESTMENT_CONVERSION_RATE,ATTACK_COST_CONVERSION_RATE,CHANCE_OF_GETTING_CAUGHT,SEC_INVESTMENT,d_init,d_end,a_init,a_end,final_iter,crossover
0.5,0.8,0.5,0.5,0.1,0.0,0.0,272430678.0,43082152.24,59245286.6,226700447.96,179,16
0.5,0.8,0.5,0.5,0.2,0.0,0.0,183373108.2,42254056.2,73807278.3,155757403.1,235,16
0.5,0.8,0.5,0.5,0.3,0.0,0.0,233093572.8,60332186.4,81044580.3,142128363.6,458,41
0.5,0.8,0.5,0.5,0.4,0.0,0.0,274722006.6,101706909.8,55674966.3,86626762.3,461,-1
0.5,0.8,0.5,0.5,0.5,0.0,0.0,319865932.6,242581946.2,72957499.4,79780659.3,317,-1
0.5,0.8,0.5,0.5,0.6,0.0,0.0,284247920.2,283337330.6,83741148.2,83478290.8,87,-1
0.5,0.8,0.5,0.5,0.7,0.0,0.0,240406420.0,240406420.0,74541851.0,74541851.0,50,-1
0.5,0.8,0.5,0.5,0.8,0.0,0.0,310876645.0,310876645.0,69050562.0,69050562.0,50,-1
0.5,0.8,0.5,0.5,0.9,0.0,0.0,232327776.0,232327776.0,69896935.0,69896935.0,50,-1
0.5,0.8,0.5,0.5,1.0,0.0,0.0,244571613.0,244571613.0,68872312.0,68872312.0,50,-1
