PERCENT_EVIL,PAYOFF,WEALTH_GAP,SEC_INVESTMENT_CONVERSION_RATE,ATTACK_COST_CONVERSION_RATE,CHANCE_OF_GETTING_CAUGHT,SEC_INVESTMENT,d_init,d_end,a_init,a_end,final_iter,crossover
0.1,0.8,0.5,0.5,0.3,0.0,0.3,179765686.52,177541334.04,9475877.4,9322491.485,240,-1
0.2,0.8,0.5,0.5,0.3,0.0,0.3,224173222.56,221584541.92,27631770.48,28193309.885,181,-1
0.3,0.8,0.5,0.5,0.3,0.0,0.3,201640393.5,198263788.94,50484336.81,49755023.83,182,-1
0.4,0.8,0.5,0.5,0.3,0.0,0.3,198541603.82,195458340.14,75190671.36,75569420.37,145,-1
0.5,0.8,0.5,0.5,0.3,0.0,0.3,169568698.88,167051129.84,61501894.77,61486988.685,107,-1
0.6,0.8,0.5,0.5,0.3,0.0,0.3,198935518.6,195256860.68,71441456.09,71673842.65,159,-1
0.7,0.8,0.5,0.5,0.3,0.0,0.3,220352482.42,216891560.9,99472936.93,99475391.325,172,-1
0.8,0.8,0.5,0.5,0.3,0.0,0.3,205017404.48,199059204.96,101120046.73,101908485.24,135,-1
0.9,0.8,0.5,0.5,0.3,0.0,0.3,191294353.6,188242239.36,121934481.035,121772083.95,108,-1
1.0,0.8,0.5,0.5,0.3,0.0,0.3,189212771.72,185381127.96,108438931.665,107382136.325,130,-1
