PERCENT_EVIL,PAYOFF,WEALTH_GAP,SEC_INVESTMENT_CONVERSION_RATE,ATTACK_COST_CONVERSION_RATE,CHANCE_OF_GETTING_CAUGHT,SEC_INVESTMENT,d_init,d_end,a_init,a_end,final_iter,crossover
0.5,0.8,0.5,0.5,0.3,0.0,0.0,233093572.8,60332186.4,81044580.3,142128363.6,458,41
0.5,0.8,0.5,0.5,0.3,0.0,0.1,235355069.52,85106231.28,80847076.69,102251029.51,358,147
0.5,0.8,0.5,0.5,0.3,0.0,0.2,199077750.72,120783741.76,84389432.04,98632358.6,268,-1
0.5,0.8,0.5,0.5,0.3,0.0,0.3,169568698.88,167051129.84,61501894.77,61486988.685,107,-1
0.5,0.8,0.5,0.5,0.3,0.0,0.4,193144622.4,193144622.4,62086079.0,62086079.0,50,-1
0.5,0.8,0.5,0.5,0.3,0.0,0.5,144771974.5,144771974.5,74313722.0,74313722.0,50,-1
0.5,0.8,0.5,0.5,0.3,0.0,0.6,90423918.4,90423918.4,66311477.0,66311477.0,50,-1
0.5,0.8,0.5,0.5,0.3,0.0,0.7,76958578.2,76958578.2,73219560.0,73219560.0,50,-1
0.5,0.8,0.5,0.5,0.3,0.0,0.8,60559802.8,60559802.8,53596114.5,53596114.5,50,-1
0.5,0.8,0.5,0.5,0.3,0.0,0.9,30244332.1,30244332.1,67620303.5,67620303.5,50,0
0.5,0.8,0.5,0.5,0.3,0.0,1.0,0.0,0.0,62272376.0,62272376.0,50,0
