PERCENT_EVIL,PAYOFF,WEALTH_GAP,SEC_INVESTMENT_CONVERSION_RATE,ATTACK_COST_CONVERSION_RATE,CHANCE_OF_GETTING_CAUGHT,SEC_INVESTMENT,d_init,d_end,a_init,a_end,final_iter,crossover
0.5,0.8,0.5,0.1,0.3,0.0,0.1,237848283.54,71154448.74,73509463.563,124193623.803,398,90
0.5,0.8,0.5,0.2,0.3,0.0,0.1,249660490.14,74265098.94,63759277.45,107919280.132,383,211
0.5,0.8,0.5,0.3,0.3,0.0,0.1,262166157.72,58420600.2,60254346.108,121831900.683,514,205
0.5,0.8,0.5,0.4,0.3,0.0,0.1,254026251.72,106810192.44,67792442.196,103251405.732,356,-1
0.5,0.8,0.5,0.5,0.3,0.0,0.1,235355069.52,85106231.28,80847076.69,102251029.51,358,147
0.5,0.8,0.5,0.6,0.3,0.0,0.1,230710722.48,74284603.2,76965784.428,97441801.764,471,213
0.5,0.8,0.5,0.7,0.3,0.0,0.1,231935003.46,90592881.3,76225659.679,98981810.368,326,124
0.5,0.8,0.5,0.8,0.3,0.0,0.1,248697064.8,121349586.96,51746809.832,72559217.96,472,-1
0.5,0.8,0.5,0.9,0.3,0.0,0.1,285897103.38,155878226.82,77164478.582,90710364.314,410,-1
0.5,0.8,0.5,1.0,0.3,0.0,0.1,230428268.46,107242711.74,82746859.13,87601150.85,349,-1
