PERCENT_EVIL,PAYOFF,WEALTH_GAP,SEC_INVESTMENT_CONVERSION_RATE,ATTACK_COST_CONVERSION_RATE,CHANCE_OF_GETTING_CAUGHT,SEC_INVESTMENT,d_init,d_end,a_init,a_end,final_iter,crossover
0.5,0.8,0.5,0.1,0.3,0.0,0.0,291062220.8,95930568.0,69332911.0,137688474.6,440,146
0.5,0.8,0.5,0.2,0.3,0.0,0.0,236370139.8,78503017.4,72091179.7,128907661.1,224,49
0.5,0.8,0.5,0.3,0.3,0.0,0.0,199257776.8,61636549.6,82358120.2,129440173.0,278,28
0.5,0.8,0.5,0.4,0.3,0.0,0.0,287270047.0,107386483.0,67783598.3,130196662.1,343,179
0.5,0.8,0.5,0.5,0.3,0.0,0.0,233093572.8,60332186.4,81044580.3,142128363.6,458,41
0.5,0.8,0.5,0.6,0.3,0.0,0.0,265111098.6,95207550.6,50782187.5,104520532.9,324,151
0.5,0.8,0.5,0.7,0.3,0.0,0.0,237438969.0,72319576.2,52390623.6,111889165.8,422,193
0.5,0.8,0.5,0.8,0.3,0.0,0.0,285936925.6,86232698.4,74282385.2,155592891.3,279,90
0.5,0.8,0.5,0.9,0.3,0.0,0.0,270091699.8,83945839.0,55191019.4,134160898.0,295,78
0.5,0.8,0.5,1.0,0.3,0.0,0.0,256435521.0,81345313.8,67650875.4,129768341.4,327,114
