PERCENT_EVIL,PAYOFF,WEALTH_GAP,SEC_INVESTMENT_CONVERSION_RATE,ATTACK_COST_CONVERSION_RATE,CHANCE_OF_GETTING_CAUGHT,SEC_INVESTMENT,d_init,d_end,a_init,a_end,final_iter,crossover
0.5,0.8,0.1,0.5,0.3,0.0,0.2,205648780.48,149947798.72,12832187.28,16675385.28,681,-1
0.5,0.8,0.2,0.5,0.3,0.0,0.2,236257100.0,172063426.4,25757738.24,30149548.34,738,-1
0.5,0.8,0.3,0.5,0.3,0.0,0.2,249000420.16,166426185.92,49444726.66,58280691.26,386,-1
0.5,0.8,0.4,0.5,0.3,0.0,0.2,199698158.4,129797786.56,41775670.1,43431794.06,542,-1
0.5,0.8,0.5,0.5,0.3,0.0,0.2,199077750.72,120783741.76,84389432.04,98632358.6,268,-1
0.5,0.8,0.6,0.5,0.3,0.0,0.2,221532507.84,136011375.04,77346231.46,86978524.9,348,-1
0.5,0.8,0.7,0.5,0.3,0.0,0.2,188772775.2,110568665.12,79018468.26,92231993.06,314,-1
0.5,0.8,0.8,0.5,0.3,0.0,0.2,221339406.72,141094544.0,103305750.4,119830598.5,227,-1
0.5,0.8,0.9,0.5,0.3,0.0,0.2,193903948.96,121915840.8,126644886.8,132927406.62,225,82
0.5,0.8,1.0,0.5,0.3,0.0,0.2,219784388.0,143394326.56,111761341.18,115809488.2,210,-1
