PERCENT_EVIL,PAYOFF,WEALTH_GAP,SEC_INVESTMENT_CONVERSION_RATE,ATTACK_COST_CONVERSION_RATE,CHANCE_OF_GETTING_CAUGHT,SEC_INVESTMENT,d_init,d_end,a_init,a_end,final_iter,crossover
0.5,0.8,0.1,0.5,0.3,0.0,0.4,166705156.8,166705156.8,12026029.9,12026029.9,50,-1
0.5,0.8,0.2,0.5,0.3,0.0,0.4,153529983.0,153529983.0,25683933.6,25683933.6,50,-1
0.5,0.8,0.3,0.5,0.3,0.0,0.4,144652535.4,144652535.4,37435844.1,37435844.1,50,-1
0.5,0.8,0.4,0.5,0.3,0.0,0.4,145813923.0,145813923.0,52578893.2,52578893.2,50,-1
0.5,0.8,0.5,0.5,0.3,0.0,0.4,193144622.4,193144622.4,62086079.0,62086079.0,50,-1
0.5,0.8,0.6,0.5,0.3,0.0,0.4,157055728.8,157055728.8,113507034.0,113507034.0,50,-1
0.5,0.8,0.7,0.5,0.3,0.0,0.4,154074892.2,154052052.36,87329001.9,87331856.88,65,-1
0.5,0.8,0.8,0.5,0.3,0.0,0.4,151003096.2,151003096.2,90585938.4,90585938.4,50,-1
0.5,0.8,0.9,0.5,0.3,0.0,0.4,179636236.8,179636236.8,127078817.4,127078817.4,50,-1
0.5,0.8,1.0,0.5,0.3,0.0,0.4,182446539.6,182446539.6,163136965.0,163136965.0,50,-1
