Name,marketcap,earnings,revenue
Microsoft,2949351473152,105264000000,236584000000
Apple,2685423583232,121416000000,385706000000
NVIDIA,2189999996928,34075000000,60922000000
Alphabet (Google),2054749159424,86025000000,307394000000
Saudi Aramco,1942885308662,236964000000,495345561932
Amazon,1869365248000,40739000000,574785000000
Meta Platforms (Facebook),1106409029632,54821000000,142711000000
Berkshire Hathaway,862347460608,125169000000,439337000000
Eli Lilly,734253285376,6554600000,34124100000
TSMC,720423813120,37329700000,73867987262
Broadcom,617839788032,14741000000,38865000000
Tesla,588375523328,8929000000,94745000000
Novo Nordisk,572124102656,15429400000,33813908390
JPMorgan Chase,556323831808,61612000000,155291000000
Visa,552815296512,22337000000,34141000000
Walmart,479073894400,24531000000,648125000000
Exxon Mobil,470953132032,52783000000,334697000000
UnitedHealth,444766650368,29112000000,371622000000
Mastercard,422428311552,13639000000,25098000000
LVMH,421044142335,23910400000,95249309011
Tencent,415116918784,35419900000,85008143971
Procter & Gamble,382838341632,20069000000,84060000000
Samsung,374201746982,8344220000,196777458586
ASML,356165615616,10066400000,30002193551
Johnson & Johnson,350839865344,16972000000,93022000000
Home Depot,330954801152,21867000000,152669000000
Merck,329217900544,3035000000,60114000000
Costco,319175458816,9248000000,248828000000
Oracle,314374553600,14660000000,52510000000
Toyota,306410061824,43039800000,307489866616
Chevron,302440579072,30053000000,196913000000
Kweichow Moutai,295847967344,14664600000,21283225746
Bank of America,295361609728,28342000000,98581000000
AbbVie,286756765696,6250000000,54318000000
Coca-Cola,265677078528,14479000000,45754000000
Nestlé,265074025224,15109000000,111031817679
Salesforce,264412299264,4950000000,34857000000
AMD,259325837312,598000000,22680000000
Hermès,258197438799,6456610000,14844665561
L'Oréal,251714527619,8845770000,45530679934
PetroChina,249488262980,36907500000,424783133772
ICBC,248794411478,59576400000,118322183436
Pepsico,241206902784,12321000000,91875000000
International Holding Company,238629519390,2257560000,7747610359
Reliance Industries,238082148531,12625400000,108626243510
Netflix,237941374976,8098780000,34932234000
AstraZeneca,233850699776,9081000000,47611000000
Shell,230813564928,32627000000,316619000000
Thermo Fisher Scientific,218937786368,6298000000,42857000000
SAP,215273504768,4934670000,34433027669
Linde,212319633408,8401000000,32854000000
Adobe,210483838976,6277000000,19936000000
Wells Fargo,209295425536,21636000000,82597000000
Agricultural Bank of China,208023933786,43416200000,98098932462
Walt Disney,204469420032,7903000000,88935000000
Novartis,198633078784,9827000000,49924000000
McDonald,196524343296,10522200000,25493700000
China Mobile,195894612412,23979900000,142377505172
Roche,195060407865,16745600000,71888614930
T-Mobile US,191357239296,14334000000,78558000000
Cisco,191061032960,16482000000,57233000000
Accenture,189170368512,9356610000,64573602000
QUALCOMM,186969063424,8736000000,36292000000
Abbott Laboratories,184814026752,6664000000,40109000000
Danaher,182201597952,4800000000,22519000000
Alibaba,182145040384,17302000000,130804370622
General Electric,179111051264,6692000000,69520000000
Intuit,177148313600,3618000000,15094000000
Pinduoduo,175144730624,10120400000,34871303385
Bank of China,172604946642,41744200000,87831511502
American Express,170618667008,11491000000,61978000000
TotalEnergies,170213261312,36964000000,218945000000
Caterpillar,169163948032,13561000000,67060000000
Applied Materials,167795507200,8369000000,26485000000
Verizon,166897598464,16562000000,134043000000
China Construction Bank,166370354411,54987900000,108533553936
Tata Consultancy Services,165784633848,7568620000,29046752308
HSBC,165098242048,30348000000,65938000000
Texas Instruments,162775973888,7166000000,16801000000
IBM,151716708352,8690000000,61859000000
ConocoPhillips,149889089536,16288000000,56141000000
Comcast,149686501376,20340000000,121939000000
Siemens,149093276004,13289300000,84659305385
Morgan Stanley,148218527744,11813000000,50667000000
Prosus,147687986865,6219000000,2628000000
HDFC Bank,147430506496,9242030000,20391946583
Philip Morris,147247923200,11976000000,35174000000
Amgen,146768560128,7855000000,28190000000
Union Pacific Corporation,145535451136,8231000000,24094000000
Pfizer,145442324480,3267000000,58497000000
ServiceNow,144421535744,1032000000,8971000000
Inditex,142889926656,7460870000,39073379594
Dior,142325739145,21522300000,84802887344
Uber,141357383680,2321000000,37281000000
BHP Group,141303120000,23550000000,53817000000
Nike,140304973824,5986000000,51581000000
Goldman Sachs,139275632640,10739000000,46254000000
Royal Bank Of Canada,137713876992,12944400000,40489146783
Nextera Energy,137565978624,9745000000,27130000000
Raytheon Technologies,135583432704,5570000000,71011000000
Charles Schwab,135486423040,6378000000,18837000000
Intel,133631524864,1640000000,54228000000
Airbus,132346523812,6010900000,71148721992
Intuitive Surgical,131542712320,1848600000,7318500000
Lowe's Companies,131054854144,11659000000,86376000000
Unilever,129901469696,8072460000,58202215428
Schneider Electric,129828869049,5973470000,39692647872
S&P Global,128820936704,4265000000,12828000000
Stryker Corporation,128163233792,3673000000,20498000000
CNOOC,128146735432,25279800000,60807616051
Micron Technology,127181438976,-3672000000,18312000000
Eaton,126813749248,3827000000,23196000000
United Parcel Service,126136311808,8573000000,90958000000
Honeywell,125548658688,8063000000,36903000000
Commonwealth Bank,125049335247,9494650000,17945374146
Sanofi,123948744704,8395340000,50359912918
CATL,123107016936,8216310000,54613879630
Elevance Health,122981662720,9079000000,171745000000
Al-Mazaya Holding Company,121990674137,13092400,51841729
Progressive,121788178432,5172100000,62082300000
AT&T,121208856576,19848000000,122428000000
Lam Research,119341039616,3915220000,14317147000
