PERCENT_EVIL,PAYOFF,WEALTH_GAP,SEC_INVESTMENT_CONVERSION_RATE,ATTACK_COST_CONVERSION_RATE,CHANCE_OF_GETTING_CAUGHT,SEC_INVESTMENT,d_init,d_end,a_init,a_end,final_iter,crossover
0.5,0.8,0.5,0.5,0.1,0.0,0.2,212539854.24,43854268.96,66777637.58,162370146.22,340,33
0.5,0.8,0.5,0.5,0.2,0.0,0.2,210878673.28,71000846.08,62863166.6,109707086.68,352,138
0.5,0.8,0.5,0.5,0.3,0.0,0.2,199077750.72,120783741.76,84389432.04,98632358.6,268,-1
0.5,0.8,0.5,0.5,0.4,0.0,0.2,192862700.16,191934003.2,79085751.92,79229666.16,107,-1
0.5,0.8,0.5,0.5,0.5,0.0,0.2,222415831.2,222415831.2,58203261.5,58203261.5,50,-1
0.5,0.8,0.5,0.5,0.6,0.0,0.2,211853776.0,211853776.0,84225463.5,84225463.5,50,-1
0.5,0.8,0.5,0.5,0.7,0.0,0.2,242879321.6,242879321.6,65315884.0,65315884.0,50,-1
0.5,0.8,0.5,0.5,0.8,0.0,0.2,202419599.2,202419599.2,84783526.5,84783526.5,50,-1
0.5,0.8,0.5,0.5,0.9,0.0,0.2,193369668.0,193369668.0,77388274.0,77388274.0,50,-1
0.5,0.8,0.5,0.5,1.0,0.0,0.2,195580517.6,195580517.6,81944224.5,81944224.5,50,-1
