PERCENT_EVIL,PAYOFF,WEALTH_GAP,SEC_INVESTMENT_CONVERSION_RATE,ATTACK_COST_CONVERSION_RATE,CHANCE_OF_GETTING_CAUGHT,SEC_INVESTMENT,d_init,d_end,a_init,a_end,final_iter,crossover
0.5,0.1,0.5,0.5,0.3,0.0,0.8,62386907.0,62386907.0,45193015.0,45193015.0,50,-1
0.5,0.2,0.5,0.5,0.3,0.0,0.8,58771198.6,58771198.6,77292564.5,77292564.5,50,0
0.5,0.3,0.5,0.5,0.3,0.0,0.8,51377213.6,51377213.6,60655433.0,60655433.0,50,0
0.5,0.4,0.5,0.5,0.3,0.0,0.8,51552223.0,51552223.0,53126590.0,53126590.0,50,0
0.5,0.5,0.5,0.5,0.3,0.0,0.8,61563510.0,61563510.0,55360017.5,55360017.5,50,-1
0.5,0.6,0.5,0.5,0.3,0.0,0.8,54561199.6,54561199.6,71505590.5,71505590.5,50,0
0.5,0.7,0.5,0.5,0.3,0.0,0.8,57301086.8,57301086.8,85984900.0,85984900.0,50,0
0.5,0.8,0.5,0.5,0.3,0.0,0.8,60559802.8,60559802.8,53596114.5,53596114.5,50,-1
0.5,0.9,0.5,0.5,0.3,0.0,0.8,55374789.8,55374789.8,55590458.0,55590458.0,50,0
0.5,1.0,0.5,0.5,0.3,0.0,0.8,47424901.2,47424901.2,50821652.0,50821652.0,50,0
