PERCENT_EVIL,PAYOFF,WEALTH_GAP,SEC_INVESTMENT_CONVERSION_RATE,ATTACK_COST_CONVERSION_RATE,CHANCE_OF_GETTING_CAUGHT,SEC_INVESTMENT,d_init,d_end,a_init,a_end,final_iter,crossover
0.1,0.8,0.5,0.5,0.3,0.0,0.7,78080102.7,78080102.7,11552812.0,11552812.0,50,-1
0.2,0.8,0.5,0.5,0.3,0.0,0.7,82795872.3,82795872.3,22979734.5,22979734.5,50,-1
0.3,0.8,0.5,0.5,0.3,0.0,0.7,83531994.3,83531994.3,51759618.5,51759618.5,50,-1
0.4,0.8,0.5,0.5,0.3,0.0,0.7,85765393.2,85765393.2,41895961.0,41895961.0,50,-1
0.5,0.8,0.5,0.5,0.3,0.0,0.7,76958578.2,76958578.2,73219560.0,73219560.0,50,-1
0.6,0.8,0.5,0.5,0.3,0.0,0.7,93356822.1,93356822.1,87173302.0,87173302.0,50,-1
0.7,0.8,0.5,0.5,0.3,0.0,0.7,73186322.1,73186322.1,116517091.0,116517091.0,50,0
0.8,0.8,0.5,0.5,0.3,0.0,0.7,84244801.8,84244801.8,131237260.0,131237260.0,50,0
0.9,0.8,0.5,0.5,0.3,0.0,0.7,73926760.5,73926760.5,104742608.0,104742608.0,50,0
1.0,0.8,0.5,0.5,0.3,0.0,0.7,76666771.2,76666771.2,127319858.0,127319858.0,50,0
