PERCENT_EVIL,PAYOFF,WEALTH_GAP,SEC_INVESTMENT_CONVERSION_RATE,ATTACK_COST_CONVERSION_RATE,CHANCE_OF_GETTING_CAUGHT,SEC_INVESTMENT,d_init,d_end,a_init,a_end,final_iter,crossover
0.5,0.8,0.5,0.1,0.3,0.0,0.2,189960782.4,60709569.6,77499885.652,97548834.076,341,108
0.5,0.8,0.5,0.2,0.3,0.0,0.2,206094702.4,89740876.48,62986677.104,78310494.364,351,-1
0.5,0.8,0.5,0.3,0.3,0.0,0.2,227125057.28,119093550.08,59132480.212,75815209.588,313,-1
0.5,0.8,0.5,0.4,0.3,0.0,0.2,207287706.72,99485180.64,72126277.712,80062196.224,417,-1
0.5,0.8,0.5,0.5,0.3,0.0,0.2,199077750.72,120783741.76,84389432.04,98632358.6,268,-1
0.5,0.8,0.5,0.6,0.3,0.0,0.2,255507080.96,199891789.44,62898266.332,68684999.82,302,-1
0.5,0.8,0.5,0.7,0.3,0.0,0.2,232637014.88,200177777.12,61195359.656,56085314.868,214,-1
0.5,0.8,0.5,0.8,0.3,0.0,0.2,227340134.08,192945096.0,58855213.552,63330160.064,334,-1
0.5,0.8,0.5,0.9,0.3,0.0,0.2,221605198.56,212485843.68,49339391.676,50679839.472,160,-1
0.5,0.8,0.5,1.0,0.3,0.0,0.2,176882289.12,172304373.6,66957438.6,67794191.14,115,-1
