PERCENT_EVIL,PAYOFF,WEALTH_GAP,SEC_INVESTMENT_CONVERSION_RATE,ATTACK_COST_CONVERSION_RATE,CHANCE_OF_GETTING_CAUGHT,SEC_INVESTMENT,d_init,d_end,a_init,a_end,final_iter,crossover
0.5,0.8,0.1,0.5,0.3,0.0,0.7,77623733.4,77623733.4,16419843.4,16419843.4,50,-1
0.5,0.8,0.2,0.5,0.3,0.0,0.7,85454824.2,85454824.2,25020273.6,25020273.6,50,-1
0.5,0.8,0.3,0.5,0.3,0.0,0.7,71915916.9,71915916.9,51818272.5,51818272.5,50,-1
0.5,0.8,0.4,0.5,0.3,0.0,0.7,97390734.6,97390734.6,59900241.6,59900241.6,50,-1
0.5,0.8,0.5,0.5,0.3,0.0,0.7,76958578.2,76958578.2,73219560.0,73219560.0,50,-1
0.5,0.8,0.6,0.5,0.3,0.0,0.7,89815377.6,89815377.6,99034064.4,99034064.4,50,0
0.5,0.8,0.7,0.5,0.3,0.0,0.7,91260156.0,91260156.0,91935610.2,91935610.2,50,0
0.5,0.8,0.8,0.5,0.3,0.0,0.7,76651831.5,76651831.5,97596608.8,97596608.8,50,0
0.5,0.8,0.9,0.5,0.3,0.0,0.7,64542041.4,64542041.4,118049723.1,118049723.1,50,0
0.5,0.8,1.0,0.5,0.3,0.0,0.7,85646333.1,85646333.1,128696473.0,128696473.0,50,0
